nohup: ignoring input
 * Serving Flask app 'main'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://169.254.0.21:5000
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [25/Jun/2025 08:26:20] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:26] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:39] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:39] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:39] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:39] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:39] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:39] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:44] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:44] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:44] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:27:44] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:30] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:30] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:30] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:30] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:42] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:42] "GET /api/search-targets HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:42] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:42] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:42] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:29:42] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:30:13] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:30:13] "OPTIONS /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:30:13] "GET /api/admin/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [25/Jun/2025 08:30:13] "GET /api/admin/dashboard HTTP/1.1" 200 -
